YEAR    ;G       ;PG      ;Y       ;PNC     ;PUC     ;POP     ;Glorious?;Gender;TM France
1960;129.7;0.925;6036;1.045;0.836;180.7;Y;M;169
1961;131.3;0.914;6113;1.045;0.869;183.7;Y;M;170
1962;137.1;0.919;6271;1.041;0.948;186.5;Y;M;170
1963;141.6;0.918;6378;1.035;0.96;189.2;Y;M;170
1964;148.8;0.914;6727;1.032;1.001;191.9;Y;M;170
1965;155.9;0.949;7027;1.009;0.994;194.3;Y;M;170
1966;164.9;0.97;7280;0.991;0.97;196.6;Y;M;170
1967;171;1;7513;1;1;198.7;Y;M;170
1968;183.4;1.014;7728;1.028;1.028;200.7;Y;M;170
1969;195.8;1.047;7891;1.044;1.031;202.7;Y;M;170
1970;207.4;1.056;8134;1.076;1.043;205.1;Y;M;170
1971;218.3;1.063;8322;1.12;1.102;207.7;Y;M;170
1972;226.8;1.076;8562;1.11;1.105;209.9;Y;M;170
1973;237.9;1.181;9042;1.111;1.176;211.9;Y;M;170
1974;225.8;1.599;8867;1.175;1.226;213.9;N;M;170
1975;232.4;1.708;8944;1.276;1.464;216;N;M;171
1976;241.7;1.779;9175;1.357;1.679;218;N;M;171
1977;249.2;1.882;9381;1.429;1.828;220.2;N;M;171
1978;261.3;1.963;9735;1.538;1.865;222.6;N;M;171
1979;248.9;2.656;9829;1.66;2.01;225.1;N;M;171
1980;226.8;3.691;9722;1.793;2.081;227.7;N;M;171
1981;225.6;4.109;9769;1.902;2.569;230;N;M;171
1982;228.8;3.894;9725;1.976;2.964;232.2;N;M;171
1983;239.6;3.764;9930;2.026;3.297;234.3;N;M;172
1984;244.7;3.707;10421;2.085;3.757;236.3;N;M;172
1985;245.8;3.738;10563;2.152;3.797;238.5;N;M;172
1986;269.4;2.921;10780;2.24;3.632;240.7;N;M;172
1987;276.8;3.038;10859;2.321;3.776;242.8;N;M;172
1988;279.9;3.065;11186;2.368;3.939;245;N;M;173
1989;284.1;3.353;11300;2.414;4.019;247.3;N;M;173
1990;282;3.834;11389;2.451;3.926;249.9;N;M;173
1991;271.8;3.766;11272;2.538;3.942;252.6;N;M;173
1992;280.2;3.751;11466;2.528;4.113;255.4;N;M;174
1993;286.7;3.713;11476;2.663;4.47;258.1;N;M;174
1994;290.2;3.732;11636;2.754;4.73;260.7;N;M;174
1995;297.8;3.789;11934;2.815;5.224;263.2;N;M;175
1960;129.7;0.925;3923.4;1.045;0.836;180.7;Y;F;160
1961;131.3;0.914;3973.45;1.045;0.869;183.7;Y;F;160
1962;137.1;0.919;4076.15;1.041;0.948;186.5;Y;F;160
1963;141.6;0.918;4145.7;1.035;0.96;189.2;Y;F;160
1964;148.8;0.914;4372.55;1.032;1.001;191.9;Y;F;160
1965;155.9;0.949;4567.55;1.009;0.994;194.3;Y;F;160
1966;164.9;0.97;4732;0.991;0.97;196.6;Y;F;160
1967;171;1;4883.45;1;1;198.7;Y;F;160
1968;183.4;1.014;5023.2;1.028;1.028;200.7;Y;F;160
1969;195.8;1.047;5129.15;1.044;1.031;202.7;Y;F;160
1970;207.4;1.056;5449.78;1.076;1.043;205.1;Y;F;160
1971;218.3;1.063;5575.74;1.12;1.102;207.7;Y;F;160
1972;226.8;1.076;5736.54;1.11;1.105;209.9;Y;F;160
1973;237.9;1.181;6058.14;1.111;1.176;211.9;Y;F;160
1974;225.8;1.599;5940.89;1.175;1.226;213.9;N;F;160
1975;232.4;1.708;5992.48;1.276;1.464;216;N;F;160
1976;241.7;1.779;6147.25;1.357;1.679;218;N;F;160
1977;249.2;1.882;6566.7;1.429;1.828;220.2;N;F;160
1978;261.3;1.963;6814.5;1.538;1.865;222.6;N;F;160
1979;248.9;2.656;6880.3;1.66;2.01;225.1;N;F;161
1980;226.8;3.691;6902.62;1.793;2.081;227.7;N;F;161
1981;225.6;4.109;7033.68;1.902;2.569;230;N;F;161
1982;228.8;3.894;7099.25;1.976;2.964;232.2;N;F;161
1983;239.6;3.764;7447.5;2.026;3.297;234.3;N;F;161
1984;244.7;3.707;7815.75;2.085;3.757;236.3;N;F;161
1985;245.8;3.738;7922.25;2.152;3.797;238.5;N;F;161
1986;269.4;2.921;8192.8;2.24;3.632;240.7;N;F;161
1987;276.8;3.038;8252.84;2.321;3.776;242.8;N;F;162
1988;279.9;3.065;8501.36;2.368;3.939;245;N;F;162
1989;284.1;3.353;8701;2.414;4.019;247.3;N;F;162
1990;282;3.834;8769.53;2.451;3.926;249.9;N;F;162
1991;271.8;3.766;8792.16;2.538;3.942;252.6;N;F;162
1992;280.2;3.751;9058.14;2.528;4.113;255.4;N;F;163
1993;286.7;3.713;9066.04;2.663;4.47;258.1;N;F;163
1994;290.2;3.732;9308.8;2.754;4.73;260.7;N;F;163
1995;297.8;3.789;9547.2;2.815;5.224;263.2;N;F;163
